Front,Back
"What is the developmental origin of astrocytes and oligodendrocyte-lineage cells?","Neuroectoderm, largely through radial-glial progenitors in the developing neural tube."
"What is the developmental origin of microglia?","Predominantly early yolk-sac erythromyeloid progenitors/primitive macrophages that enter the CNS embryonically and largely self-renew locally."
"Which factors specify oligodendrocyte lineage, and what is PDGFRα?","OLIG1/OLIG2 and SOX10 are lineage transcription factors. PDGFRα is a receptor and OPC marker, not a transcription factor."
"What is the normal dominant fate of adult OPCs?","They remain proliferative and primarily generate oligodendrocytes; other fates occur mainly in particular developmental, experimental or pathological contexts."
"Who forms the physical blood-brain barrier seal?","Specialised brain endothelial cells and their tight junctions. Astrocytes, pericytes and basement membrane regulate development, maintenance and transport phenotype."
"What does Kir4.1 contribute to astrocyte physiology?","High K+ permeability and a very negative membrane potential, supporting uptake and spatial redistribution of extracellular K+."
"Which astrocytic transporters dominate synaptic glutamate clearance?","EAAT2/GLT-1 and EAAT1/GLAST; failure prolongs glutamate signalling, promotes spillover and raises excitotoxic/hyperexcitable risk."
"What is the safest statement about astrocyte-neuron lactate shuttling?","Astrocytes can export lactate for neuronal use, especially during sustained activity; the shuttle is influential and supported but its universality and quantitative dominance remain debated."
"Why are A1/A2 astrocyte and M1/M2 microglia labels limited?","They are historically useful but too binary for diverse in-vivo states, which vary by region, stage, sex, age and experimental method."
"What is the safest statement about gliotransmission?","Astrocytes clearly modulate synapses through uptake, ions, metabolism and ATP/adenosine signalling; routine physiological vesicular glutamate/D-serine release remains circuit- and preparation-dependent."
"What is the complement-pruning mechanism?","Altered/weak activity → C1q/classical pathway → C3 cleavage and deposition → microglial CR3 recognition of complement-opsonised material (especially iC3b) → engulfment."
"How do oligodendrocytes and Schwann cells differ?","One oligodendrocyte can myelinate multiple CNS internodes; one myelinating Schwann cell forms one PNS internode and supports a more regeneration-permissive peripheral response."
"What do ependymal cells do?","They line ventricles and the central canal; cilia help circulate CSF, and they contribute to ventricular fluid-interface and niche functions."
"What are radial glia?","Developmental neural stem/progenitor cells that also provide a migration scaffold and later generate neurons and macroglia."
"What are specialised radial-glia-derived astroglia?","Examples include Bergmann glia in cerebellum and Müller glia in retina; they retain elongated radial morphology and specialised circuit-support roles."
"What is GFAP useful for—and what is its limitation?","A common astrocytic intermediate-filament marker, especially in reactive states, but it does not label every astrocyte equally and is not astrocyte-exclusive in all contexts."
"What is the main role of oligodendrocyte myelin?","It increases membrane resistance and lowers capacitance across internodes, enabling rapid saltatory conduction and providing metabolic support to axons."
"Why is the glial scar not simply harmful?","CSPGs and lesion signals can inhibit regrowth, but reactive astrocyte borders also restrict inflammation, preserve tissue and can aid repair under growth-promoting conditions."
"What is the glia:neuron ratio in the human brain?","Roughly comparable overall rather than the old 10:1 myth, with substantial regional variation."
"How does CLARITY complement single-cell transcriptomics?","CLARITY preserves three-dimensional tissue architecture and molecular labels, revealing morphology and spatial relationships that dissociated transcriptomics loses."